key,mode,direction,target,magnitude_cm,realised_mm_mean,realised_mm_max,peak_rel_err_median,peak_rel_err_p90,channel_rel_err_median,channel_rel_err_p90,rdm_median,rdm_p90,lnmag_median,abs_lnmag_p90,d_asymmetry_median,d_asymmetry_p90,d_asymmetry_max,loc_err_median_mm,loc_err_p90_mm,loc_err_mean_mm
single|O1|180|0.25,single,180deg,O1,0.25,0.1315789473684209,2.4999999999999973,0.0036964312740461643,0.015144165237949914,0.0036964312740461643,0.015144165237949914,0.0021024609545127145,0.008670496637331923,-1.3074042448669244e-05,0.0028008869142567257,0.00042860619231253894,0.005397841755197273,0.5975350888144937,0.0,0.0,0.0
single|O1|180|0.5,single,180deg,O1,0.5,0.2630724379621773,4.998376321281368,0.007395398261888037,0.029981231227796362,0.007395398261888037,0.029981231227796362,0.004212319620768764,0.017163760954454946,-2.8891434855127007e-05,0.0055820468673218595,0.0008588279914751862,0.010753250748373362,0.8855423940532565,0.0,0.0,0.022894410680802925
single|O1|180|0.855,single,180deg,O1,0.855,0.4493226618698783,8.537130575527687,0.012438170515172438,0.05075498409366837,0.012438170515172438,0.05075498409366837,0.007114557242583934,0.029058601678722637,-8.631698147013321e-05,0.00946134505536059,0.001452702246758003,0.018193432683271622,1.2172005785278617,0.0,0.0,0.08821638799304071
single|O1|180|0.938,single,180deg,O1,0.938,0.4928733527431736,9.364593702120299,0.013596550894483847,0.055697764175802494,0.013596550894483847,0.055697764175802494,0.0078124438875820795,0.03197549902419997,-9.884092578637047e-05,0.010429049037158867,0.001593855188614074,0.019972128649131282,1.1617945587657335,0.0,0.0,0.09440079347282555
single|O1|180|1.5,single,180deg,O1,1.5,0.7864198694781753,14.94197752008533,0.021366515055949255,0.08890052665475645,0.021366515055949255,0.08890052665475645,0.01234784632418719,0.050860704633777426,-0.00021808045191382784,0.016388954818269092,0.0025036096482581593,0.03136525444843495,1.6236324058379248,0.0,0.0,0.2407398176075229
single|O1|180|2.0,single,180deg,O1,2.0,1.0454277525200888,19.863127297881686,0.02786710618782339,0.11704194367534107,0.02786710618782339,0.11704194367534107,0.016054062038928063,0.0669352740503844,-0.00037023018588650344,0.021675102684188177,0.0032892098233815448,0.04132051673859613,1.4424583294230509,0.0,0.0,0.4964170641259058
single|O1|225|0.25,single,225deg,O1,0.25,0.131473501122659,2.4979965213305206,0.005518455587669747,0.020927255589805103,0.005518455587669747,0.020927255589805103,0.0030251607570550764,0.011874609959021128,-1.8977783221761655e-05,0.003954715100941792,0.0006790073668020702,0.007777349570727496,0.6851198372249112,0.0,0.0,0.0
single|O1|225|0.5,single,225deg,O1,0.5,0.262880407709593,4.994727746482266,0.011022988567518686,0.04174936422254009,0.011022988567518686,0.04174936422254009,0.006074901125047017,0.02371186988408503,-4.442589155178754e-05,0.007717629204587158,0.0013575643374904023,0.015477897923410491,1.6014286209233681,0.0,0.0,0.016192935635865307
single|O1|225|0.855,single,225deg,O1,0.855,0.44937812555560047,8.53818438555641,0.01886532801743788,0.07090121094650038,0.01886532801743788,0.07090121094650038,0.010369054202121336,0.04049812609371878,-8.860390147522122e-05,0.012946903889565289,0.002311042404364777,0.026546348889345324,1.4379868687532489,0.0,0.0,0.12222484801363079
single|O1|225|0.938,single,225deg,O1,0.938,0.4916965891818513,9.342235194455174,0.02060558084396246,0.07723211227572359,0.02060558084396246,0.07723211227572359,0.01134071643483775,0.044224616292387844,-0.00010457725344921229,0.014129825103394165,0.0025165668637797955,0.02894078825516368,1.3859707057170105,0.0,0.0,0.17304199256296585
single|O1|225|1.5,single,225deg,O1,1.5,0.7845056375036483,14.905607112569319,0.0327303321972025,0.11979750964728807,0.0327303321972025,0.11979750964728807,0.01804356848973522,0.0692344102734272,-0.0002349052233232032,0.021962656725433655,0.003982001758287473,0.04545928522460704,1.5110680930373683,0.0,0.0,0.488346365205702
single|O1|225|2.0,single,225deg,O1,2.0,1.0357836108849097,19.679888606813282,0.043130732304543694,0.15499768460600352,0.043130732304543694,0.15499768460600352,0.023870428779361078,0.0910061287054532,-0.00037975423264075193,0.028031148599672276,0.005227337464618065,0.05946322256170586,1.4146804196786569,0.0,0.0,0.789562209590088
single|O1|270|0.25,single,270deg,O1,0.25,0.13150117427792976,2.4985223112806656,0.0074147451441158255,0.023538911966338633,0.0074147451441158255,0.023538911966338633,0.003922032268197397,0.013305390018063912,-1.741473957779955e-05,0.0042898757909042165,0.0008824730447704598,0.009198933139516918,0.5761963034688363,0.0,0.0,0.009439815961444787
single|O1|270|0.5,single,270deg,O1,0.5,0.2621985377942269,4.9817722180903115,0.014838665182195176,0.046958947630594425,0.014838665182195176,0.046958947630594425,0.007860333116376567,0.026961612859238662,-3.92314820155974e-05,0.008457180013017625,0.001775060472199011,0.018426690514424013,1.2672687449423372,0.0,0.0,0.026291747218972032
single|O1|270|0.855,single,270deg,O1,0.855,0.4477097798037062,8.506485816270418,0.025684896202834286,0.08185284159370224,0.025684896202834286,0.08185284159370224,0.013628308082734446,0.04700488866220629,-7.654447456691989e-05,0.014616886056221657,0.0030772314942144885,0.03188994787746274,1.8477665622541157,0.0,0.0,0.24142323169554236
